TIME,WIND (ms-1),WDIR (degrees),UGRD (ms-1),VGRD (ms-1),HTSGW (m),PERPW (s),DIRPW (degree),WVHGT (m),SWELL (m),SWELL (m),SWELL (m),WVPER (s),SWPER (s),SWPER (s),SWPER (s),WVDIR (degree),SWDIR (degree),SWDIR (degree),SWDIR (degree)
2021-04-24T06:00:00+00:00,4.93,258.18,4.82,1.01,0.61,5.65,205.33,0.23,0.55,0.13,NaN,3.20,5.65,8.94,NaN,266.84,199.34,140.56,NaN
2021-04-24T09:00:00+00:00,7.07,282.83,6.90,-1.57,0.76,6.11,201.74,0.45,0.60,0.12,NaN,3.04,6.11,9.21,NaN,274.14,200.42,139.24,NaN
2021-04-24T12:00:00+00:00,6.10,265.12,6.08,0.52,0.74,6.12,201.70,0.40,0.63,NaN,NaN,3.06,6.12,NaN,NaN,271.51,198.64,NaN,NaN
2021-04-24T15:00:00+00:00,7.03,253.06,6.72,2.05,0.75,6.24,197.52,0.48,0.58,NaN,NaN,3.12,6.24,NaN,NaN,258.62,196.68,NaN,NaN
2021-04-24T18:00:00+00:00,6.68,220.30,4.32,5.10,0.69,6.33,197.00,0.69,NaN,NaN,NaN,6.33,NaN,NaN,NaN,209.90,NaN,NaN,NaN
2021-04-24T21:00:00+00:00,9.51,217.66,5.81,7.53,0.94,4.06,210.58,0.93,0.11,NaN,NaN,4.06,9.00,NaN,NaN,209.93,140.90,NaN,NaN
2021-04-25T00:00:00+00:00,8.66,221.11,5.69,6.52,0.96,4.43,209.65,0.96,0.11,NaN,NaN,4.43,9.38,NaN,NaN,210.05,140.36,NaN,NaN
2021-04-25T03:00:00+00:00,5.58,220.62,3.63,4.23,0.75,4.41,205.34,0.74,0.11,NaN,NaN,4.41,9.41,NaN,NaN,206.05,142.80,NaN,NaN
2021-04-25T06:00:00+00:00,2.55,190.54,0.47,2.50,0.58,4.80,198.65,NaN,0.57,0.12,NaN,NaN,4.80,9.60,NaN,NaN,198.79,145.14,NaN
2021-04-25T09:00:00+00:00,2.82,174.33,-0.28,2.81,0.48,4.81,197.67,NaN,0.46,0.13,NaN,NaN,4.81,9.56,NaN,NaN,192.50,145.92,NaN
2021-04-25T12:00:00+00:00,6.51,58.25,-5.54,-3.43,0.46,4.78,197.60,0.21,0.39,0.13,NaN,1.88,4.78,9.46,NaN,73.07,189.43,146.00,NaN
2021-04-25T15:00:00+00:00,9.22,62.54,-8.18,-4.25,0.64,3.01,82.63,0.54,0.30,0.14,NaN,3.00,4.67,9.24,NaN,73.51,190.81,147.35,NaN
2021-04-25T18:00:00+00:00,7.23,31.77,-3.81,-6.15,0.66,3.49,87.41,0.47,0.37,0.19,0.14,3.23,3.72,4.72,9.05,45.07,120.88,200.35,146.36
2021-04-25T21:00:00+00:00,8.49,338.87,3.06,-7.92,0.83,6.99,169.76,0.51,0.61,0.22,NaN,2.97,6.99,3.71,NaN,352.80,165.96,91.35,NaN
2021-04-26T00:00:00+00:00,6.00,325.59,3.39,-4.95,1.16,8.96,168.05,0.42,1.08,NaN,NaN,2.99,8.96,NaN,NaN,334.70,165.07,NaN,NaN
2021-04-26T03:00:00+00:00,12.67,311.13,9.55,-8.34,1.42,8.87,163.71,0.83,1.15,NaN,NaN,3.75,8.87,NaN,NaN,301.33,161.26,NaN,NaN
2021-04-26T06:00:00+00:00,12.25,304.41,10.11,-6.92,1.57,8.90,161.39,1.14,1.07,NaN,NaN,4.53,8.90,NaN,NaN,294.82,158.69,NaN,NaN
2021-04-26T09:00:00+00:00,13.32,300.99,11.42,-6.86,1.54,8.81,160.94,1.19,0.97,NaN,NaN,4.53,8.81,NaN,NaN,294.99,159.26,NaN,NaN
2021-04-26T12:00:00+00:00,14.05,302.85,11.80,-7.62,1.62,4.83,284.18,1.37,0.86,NaN,NaN,4.82,8.71,NaN,NaN,292.22,159.57,NaN,NaN
2021-04-26T15:00:00+00:00,12.62,298.35,11.11,-5.99,1.46,4.81,290.13,1.27,0.73,NaN,NaN,4.81,8.69,NaN,NaN,292.83,159.04,NaN,NaN
2021-04-26T18:00:00+00:00,11.60,287.85,11.04,-3.56,1.27,4.52,293.66,1.10,0.63,NaN,NaN,4.52,8.52,NaN,NaN,287.12,158.91,NaN,NaN
2021-04-26T21:00:00+00:00,10.27,282.30,10.04,-2.19,1.08,4.20,286.09,0.91,0.58,NaN,NaN,4.20,8.62,NaN,NaN,280.45,159.54,NaN,NaN
2021-04-27T00:00:00+00:00,9.36,294.61,8.51,-3.90,1.05,8.80,160.85,0.90,0.54,0.09,NaN,4.20,8.58,9.02,NaN,283.83,159.43,185.00,NaN
2021-04-27T03:00:00+00:00,6.28,309.30,4.86,-3.98,0.77,8.63,161.59,0.58,0.51,NaN,NaN,3.90,8.63,NaN,NaN,284.96,159.51,NaN,NaN
2021-04-27T06:00:00+00:00,8.23,292.59,7.60,-3.16,0.76,8.55,161.06,0.61,0.46,NaN,NaN,3.46,8.55,NaN,NaN,283.11,157.67,NaN,NaN
2021-04-27T09:00:00+00:00,7.47,295.02,6.77,-3.16,0.77,8.42,158.80,0.65,0.41,NaN,NaN,3.70,8.42,NaN,NaN,280.85,156.10,NaN,NaN
2021-04-27T12:00:00+00:00,7.35,296.86,6.56,-3.32,0.75,8.23,156.93,0.66,0.28,0.24,NaN,3.77,8.09,8.62,NaN,281.95,173.16,130.50,NaN
2021-04-27T15:00:00+00:00,8.04,251.06,7.60,2.61,0.65,8.03,162.15,0.56,0.25,0.21,NaN,3.42,7.90,8.81,NaN,267.62,172.60,129.51,NaN
2021-04-27T18:00:00+00:00,10.62,251.92,10.10,3.30,0.91,3.90,247.55,0.86,0.23,0.20,NaN,3.90,7.83,8.56,NaN,251.71,172.55,128.40,NaN
2021-04-27T21:00:00+00:00,7.35,234.70,6.00,4.25,0.75,3.93,251.76,0.69,0.21,0.20,NaN,3.93,7.61,8.34,NaN,248.37,174.34,128.85,NaN
2021-04-28T00:00:00+00:00,8.59,234.12,6.96,5.03,0.84,3.98,224.18,0.79,0.28,NaN,NaN,3.98,7.63,NaN,NaN,226.46,150.41,NaN,NaN
2021-04-28T03:00:00+00:00,6.12,236.03,5.07,3.42,0.77,4.39,219.28,0.72,0.25,0.11,NaN,4.39,7.62,7.33,NaN,221.72,140.84,190.95,NaN
2021-04-28T06:00:00+00:00,5.61,228.16,4.18,3.74,0.64,4.46,212.59,0.58,0.20,0.18,NaN,4.46,7.27,8.59,NaN,214.82,167.29,123.13,NaN
2021-04-28T09:00:00+00:00,6.36,225.69,4.55,4.44,0.65,4.30,212.11,0.59,0.19,0.18,NaN,4.30,7.10,8.54,NaN,213.04,167.55,123.74,NaN
2021-04-28T12:00:00+00:00,4.22,229.51,3.21,2.74,0.62,4.44,206.45,0.56,0.19,0.17,NaN,4.44,8.50,6.93,NaN,210.33,125.03,171.30,NaN
2021-04-28T15:00:00+00:00,5.33,249.81,5.01,1.84,0.56,4.67,204.61,0.51,0.21,0.14,NaN,4.66,8.26,6.80,NaN,210.82,128.65,177.00,NaN
2021-04-28T18:00:00+00:00,6.30,226.78,4.59,4.31,0.59,4.62,203.38,0.53,0.21,0.12,NaN,4.62,8.06,6.71,NaN,218.32,128.95,176.53,NaN
2021-04-28T21:00:00+00:00,6.02,216.03,3.54,4.87,0.62,4.57,204.26,0.58,0.20,0.09,NaN,4.57,7.96,2.80,NaN,209.22,129.05,291.77,NaN
2021-04-29T00:00:00+00:00,6.79,233.53,5.46,4.04,0.85,4.70,207.57,0.82,0.20,NaN,NaN,4.70,7.85,NaN,NaN,211.38,128.97,NaN,NaN
2021-04-29T03:00:00+00:00,5.98,272.19,5.98,-0.23,0.81,5.79,195.37,NaN,0.81,NaN,NaN,NaN,5.79,NaN,NaN,NaN,205.40,NaN,NaN
2021-04-29T06:00:00+00:00,4.00,256.31,3.88,0.95,0.80,6.23,192.52,NaN,0.80,NaN,NaN,NaN,6.23,NaN,NaN,NaN,200.76,NaN,NaN
2021-04-29T09:00:00+00:00,5.54,107.32,-5.29,1.65,0.77,6.38,189.34,NaN,0.75,0.18,NaN,NaN,6.38,2.82,NaN,NaN,189.83,289.99,NaN
